file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
NumericEntityUnescaperError.py,NumericEntityUnescaperError.py,23,31,2,,,2,2,9,17,,,17.9,12
OrderError.py,OrderError.py,17,37,3,,,,,5,3,,,46.9,
PageUtilFail.py,PageUtilFail.py,38,63,4,,,,,6,3,,,34.5,
PDFHandlerError.py,PDFHandlerError.py,16,37,3,,,,,5,2,,,51.5,
PersonRequestSuccess.py,PersonRequestSuccess.py,20,47,4,,,8,8,10,6,,,51.2,31
PushBoxGameError.py,PushBoxGameError.py,25,42,2,,,,,5,8,,,35.9,
RegexUtilsError.py,RegexUtilsError.py,,19,,,,,,,,,,,
RPGCharacterError.py,RPGCharacterError.py,22,63,5,,,,,5,,,,60.0,
ServerError.py,ServerError.py,25,168,5,1,,1,2,9,6,,,51.9,1
ShoppingCartError.py,ShoppingCartError.py,8,30,2,,,,,3,1,,,60.0,
SignInSystemError.py,SignInSystemError.py,25,63,5,,,,,10,9,,,54.5,
SnakeError.py,SnakeError.py,30,64,4,,,3,3,7,6,,,45.5,6
SplitSentencePartialSuccess.py,SplitSentencePartialSuccess.py,,7,,,,,,,,,,,
SQLGeneratorError.py,SQLGeneratorError.py,8,24,2,,,,,2,,,,57.9,
SQLQueryBuilderError.py,SQLQueryBuilderError.py,,1,,,,,,,,,,,
Statistics3Error.py,Statistics3Error.py,,97,,,,,,,,,,,
StockPortfolioTrackerError.py,StockPortfolioTrackerError.py,32,94,8,,,,,12,5,,,62.4,
StudentDatabaseProcessorError.py,StudentDatabaseProcessorError.py,14,36,3,,,,,3,,,,50.0,
TextFileProcessorError.py,TextFileProcessorError.py,15,45,4,,,,,5,,,,60.5,
ThermostatError.py,ThermostatError.py,15,45,4,,,,,5,2,,,58.3,
TicTacToeFail.py,TicTacToeFail.py,33,60,4,,,1,1,18,24,,,40.0,2
TimeUtilsError.py,TimeUtilsError.py,5,8,1,,,,,1,,,,37.5,
TriCalculatorError.py,TriCalculatorError.py,32,83,6,,,1,1,11,7,,,56.8,5
TwentyFourPointGameError.py,TwentyFourPointGameError.py,16,42,3,,,1,1,4,3,,,51.5,5
URLHandlerFail.py,URLHandlerFail.py,21,66,6,,,,,8,3,,,64.4,
UrlPathError.py,UrlPathError.py,5,8,1,,,,,1,,,,37.5,
UserLoginDBFail.py,UserLoginDBFail.py,20,51,4,,,,,6,2,,,54.5,
VectorUtilError.py,VectorUtilError.py,6,14,1,,,1,1,1,,,,50.0,5
VendingMachineFail.py,VendingMachineFail.py,23,62,5,,,,,8,7,,,57.4,
WarehouseError.py,WarehouseError.py,24,93,6,,,,,11,5,,,72.1,
WeatherSystemError.py,WeatherSystemError.py,18,50,4,,,,,5,3,,,58.1,
Words2NumbersError.py,Words2NumbersError.py,48,75,3,,,2,2,15,27,,,29.4,28
XMLProcessorError.py,XMLProcessorError.py,5,9,1,,,,,1,,,,44.4,
ZipFileProcessorError.py,ZipFileProcessorError.py,11,28,2,,,1,1,2,1,,,47.6,5
