file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
OrderFail.py,OrderFail.py,32,85,4,,,,,9,8,,,58.4,
PageUtilError.py,PageUtilError.py,220,272,4,,,1,1,10,6,61.4,2,17.6,5
PDFHandlerError.py,PDFHandlerError.py,16,43,3,,,,,5,2,,,59.0,
PersonRequestFail.py,PersonRequestFail.py,17,53,4,,,7,7,8,4,,,58.5,26
PushBoxGameError.py,PushBoxGameError.py,51,125,4,,,,,16,19,,,52.8,
RegexUtilsFail.py,RegexUtilsFail.py,32,128,10,,,,,10,,,,72.6,
RPGCharacterError.py,RPGCharacterError.py,,105,,,,,,,,,,,
ServerFail.py,ServerFail.py,35,94,6,,,,,11,11,,,56.3,
ShoppingCartSuccess.py,ShoppingCartSuccess.py,14,70,5,,,,,6,1,,,75.0,
SignInSystemFail.py,SignInSystemFail.py,31,104,6,,,,,13,12,,,64.8,
SnakeError.py,SnakeError.py,30,84,5,,,3,3,6,2,,,58.9,6
SplitSentenceFail.py,SplitSentenceFail.py,,10,,,,,,,,,,,
SQLGeneratorFail.py,SQLGeneratorFail.py,25,89,7,,,,,10,3,,,67.9,
SQLQueryBuilderFail.py,SQLQueryBuilderFail.py,5,46,4,,,4,4,4,,,,87.8,20
Statistics3Error.py,Statistics3Error.py,54,129,7,,,13,13,17,17,,,55.4,65
StockPortfolioTrackerError.py,StockPortfolioTrackerError.py,36,128,8,,,,,15,7,,,68.4,
StudentDatabaseProcessorFail.py,StudentDatabaseProcessorFail.py,29,78,5,,,,,5,,,,58.0,
TextFileProcessorError.py,TextFileProcessorError.py,25,81,5,,,1,1,7,4,,,62.1,5
ThermostatError.py,ThermostatError.py,31,108,8,,,,,12,6,,,65.2,
TicTacToeError.py,TicTacToeError.py,,64,,,,,,,,,,,
TimeUtilsFail.py,TimeUtilsFail.py,22,103,8,,,,,8,,,,72.5,
TriCalculatorError.py,TriCalculatorError.py,21,72,6,,,1,1,6,,,,65.6,5
TwentyFourPointGameError.py,TwentyFourPointGameError.py,,244,,,,,,,,,,,
URLHandlerError.py,URLHandlerError.py,19,71,6,,,,,6,,,,68.3,
UrlPathFail.py,UrlPathFail.py,12,52,4,,,1,1,4,,,,73.3,5
UserLoginDBFail.py,UserLoginDBFail.py,21,76,5,,,,,5,,,,68.7,
VectorUtilError.py,VectorUtilError.py,8,58,4,,,4,4,4,,,,84.0,20
VendingMachineFail.py,VendingMachineFail.py,39,114,6,,,,,11,12,,,62.1,
WarehouseError.py,WarehouseError.py,46,132,7,,,,,14,15,,,62.0,
WeatherSystemError.py,WeatherSystemError.py,24,75,5,,,,,5,,,,65.2,
Words2NumbersError.py,Words2NumbersError.py,89,119,3,,,6,6,25,28,47.1,2,19.8,30
XMLProcessorError.py,XMLProcessorError.py,23,80,5,,,,,6,1,,,67.6,
ZipFileProcessorSuccess.py,ZipFileProcessorSuccess.py,21,63,5,,,,,6,1,,,63.2,
