file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
DataStatisticsFail.py,DataStatisticsFail.py,5,18,1,,,,,1,,,,68.8,
DataStatisticsUnknown.py,DataStatisticsUnknown.py,17,48,3,,,,,4,2,,,61.4,
DecryptionUtilsError.py,DecryptionUtilsError.py,11,31,2,,,,,4,4,,,60.7,
DecryptionUtilsUnknown.py,DecryptionUtilsUnknown.py,27,70,4,,,,,10,12,,,57.1,
DiscountStrategyFail.py,DiscountStrategyFail.py,11,37,2,,,,,3,1,,,67.6,
DiscountStrategyUnknown.py,DiscountStrategyUnknown.py,15,92,6,,,6,6,7,1,,,81.5,30
DocFileHandlerError.py,DocFileHandlerError.py,13,27,2,,,,,3,1,,,45.8,
DocFileHandlerUnknown.py,DocFileHandlerUnknown.py,,318,,,,,,,,,,,
EightPuzzleError.py,EightPuzzleError.py,11,30,2,,,,,5,6,,,59.3,
EightPuzzleUnknown.py,EightPuzzleUnknown.py,46,97,5,,,3,3,19,39,,,47.7,21
EmailClientError.py,EmailClientError.py,12,37,2,,,,,3,1,97.3,1,64.7,
EmailClientUnknown.py,EmailClientUnknown.py,30,101,6,,,,,10,4,35.6,1,67.7,
EncryptionUtilsError.py,EncryptionUtilsError.py,8,28,2,,,,,3,1,,,68.0,
EncryptionUtilsUnknown.py,EncryptionUtilsUnknown.py,18,60,4,,,,,7,3,,,66.0,
ExcelProcessorError.py,ExcelProcessorError.py,11,22,2,,,1,1,3,1,,,42.1,5
ExcelProcessorUnknown.py,ExcelProcessorUnknown.py,30,67,4,,,2,2,6,2,,,50.8,7
ExpressionCalculatorError.py,ExpressionCalculatorError.py,228,246,2,,,214,214,3,1,99.6,1,6.2,1070
ExpressionCalculatorUnknown.py,ExpressionCalculatorUnknown.py,233,308,7,,,217,217,8,1,79.5,1,21.0,1085
FitnessTrackerError.py,FitnessTrackerError.py,13,30,2,,,2,2,2,,,,51.9,7
FitnessTrackerUnknown.py,FitnessTrackerUnknown.py,32,69,4,,,3,3,11,15,,,48.4,9
GomokuGameError.py,GomokuGameError.py,,38,,,,,,,,,,,
GomokuGameUnknown.py,GomokuGameUnknown.py,,117,,,,,,,,,,,
HotelSuccess.py,HotelSuccess.py,13,52,2,,,,,3,2,,,73.5,
HotelUnknown.py,HotelUnknown.py,31,113,5,,,,,8,6,,,70.2,
HRManagementSystemError.py,HRManagementSystemError.py,10,34,2,,,,,3,2,,,67.7,
HRManagementSystemUnknown.py,HRManagementSystemUnknown.py,,110,,,,,,,,,,,
HtmlUtilError.py,HtmlUtilError.py,22,36,2,,,1,1,3,1,,,33.3,2
HtmlUtilUnknown.py,HtmlUtilUnknown.py,,202,,,,,,,,,,,
ImageProcessorError.py,ImageProcessorError.py,6,23,2,,,,,2,,,,68.4,
ImageProcessorUnknown.py,ImageProcessorUnknown.py,14,72,6,,,,,6,,,,75.0,
InterpolationError.py,InterpolationError.py,5,22,2,,,1,1,2,,,,73.7,5
InterpolationUnknown.py,InterpolationUnknown.py,,39,,,,,,,,,,,
IPAddressError.py,IPAddressError.py,15,33,2,,,,,6,7,,,48.3,
IPAddressUnknown.py,IPAddressUnknown.py,24,58,4,,,,,9,8,,,53.8,
IpUtilError.py,IpUtilError.py,3,18,1,,,1,1,1,,,,81.3,5
IpUtilUnknown.py,IpUtilUnknown.py,,292,,,,,,,,,,,
JobMarketplaceError.py,JobMarketplaceError.py,10,28,2,,,,,2,,,,60.0,
JobMarketplaceUnknown.py,JobMarketplaceUnknown.py,42,125,7,2,,,2,17,19,,,62.5,
JSONProcessorFail.py,JSONProcessorFail.py,9,24,1,,,,,2,1,,,55.0,
JSONProcessorUnknown.py,JSONProcessorUnknown.py,23,69,3,,,,,7,4,,,61.0,
KappaCalculatorFail.py,KappaCalculatorFail.py,3,16,1,,,2,2,1,,,,78.6,7
KappaCalculatorUnknown.py,KappaCalculatorUnknown.py,4,37,2,,,5,5,2,,,,88.2,16
LemmatizationError.py,LemmatizationError.py,214,232,2,,,,,2,,99.6,1,6.6,
LemmatizationUnknown.py,LemmatizationUnknown.py,216,254,4,,,,,4,,90.9,1,12.6,
LongestWordPartialSuccess.py,LongestWordPartialSuccess.py,8,21,2,,,,,2,,,,55.6,
LongestWordUnknown.py,LongestWordUnknown.py,17,43,3,,,,,5,3,,,55.3,
MahjongConnectFail.py,MahjongConnectFail.py,12,37,2,,,2,2,4,3,97.3,1,64.7,4
MahjongConnectUnknown.py,MahjongConnectUnknown.py,50,148,7,,,2,2,38,21,24.3,1,63.0,4
ManacherError.py,ManacherError.py,11,32,2,,,,,3,3,,,62.1,
ManacherUnknown.py,ManacherUnknown.py,20,51,3,,,,,5,4,,,56.5,
MetricsCalculator2Error.py,MetricsCalculator2Error.py,6,25,2,,,1,1,2,,,,72.7,5
MetricsCalculator2Unknown.py,MetricsCalculator2Unknown.py,7,41,3,,,2,2,3,,,,80.6,10
MetricsCalculatorError.py,MetricsCalculatorError.py,11,31,2,,,,,2,,,,57.7,
MetricsCalculatorUnknown.py,MetricsCalculatorUnknown.py,23,91,6,,,6,6,6,,,,68.9,30
MinesweeperGameError.py,MinesweeperGameError.py,21,40,2,,,1,1,10,11,97.5,1,43.2,5
MinesweeperGameUnknown.py,MinesweeperGameUnknown.py,56,108,5,,,3,3,29,38,36.1,1,45.1,15
MovieBookingSystemFail.py,MovieBookingSystemFail.py,8,36,2,,,,,2,,,,75.8,
MovieBookingSystemUnknown.py,MovieBookingSystemUnknown.py,25,78,4,,,,,10,9,,,65.8,
MovieTicketDBSuccess.py,MovieTicketDBSuccess.py,18,33,2,,,,,2,,,,37.9,
MovieTicketDBUnknown.py,MovieTicketDBUnknown.py,37,78,5,,,,,5,,,,47.9,
MusicPlayerFail.py,MusicPlayerFail.py,8,27,2,,,,,2,,,,65.2,
MusicPlayerUnknown.py,MusicPlayerUnknown.py,42,151,9,,,,,15,11,,,66.7,
NLPDataProcessor2Error.py,NLPDataProcessor2Error.py,10,22,1,,,,,2,1,,,50.0,
NLPDataProcessor2Unknown.py,NLPDataProcessor2Unknown.py,18,46,3,,,,,4,1,,,57.1,
NLPDataProcessorFail.py,NLPDataProcessorFail.py,4,15,1,,,,,1,,,,69.2,
NLPDataProcessorUnknown.py,NLPDataProcessorUnknown.py,17,45,3,,,,,6,6,,,58.5,
NumberConverterFail.py,NumberConverterFail.py,2,14,1,,,1,1,1,,,,83.3,5
NumberConverterUnknown.py,NumberConverterUnknown.py,7,60,6,,,6,6,6,,,,86.5,30
NumberWordFormatterError.py,NumberWordFormatterError.py,33,51,2,2,,1,3,12,17,98.0,2,29.8,7
