file,path,ncloc,lines,functions,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,duplicated_lines_density,duplicated_blocks,comment_lines_density,sqale_index
NLPDataProcessor2Error.py,NLPDataProcessor2Error.py,17,58,3,,,4,4,3,,,,63.8,20
NLPDataProcessorError.py,NLPDataProcessorError.py,9,32,3,,,,,5,,,,66.7,
NumberConverterError.py,NumberConverterError.py,32,86,5,,,5,5,17,12,,,52.9,25
NumberWordFormatterError.py,NumberWordFormatterError.py,24,50,2,,,,,4,7,,,36.8,
NumericEntityUnescaperError.py,NumericEntityUnescaperError.py,5,21,2,2,,2,4,2,,,,70.6,10
OrderError.py,OrderError.py,11,37,2,,,,,4,3,,,60.7,
PageUtilError.py,PageUtilError.py,44,90,4,,,,,12,11,,,44.3,
PDFHandlerError.py,PDFHandlerError.py,16,46,3,1,,,1,4,1,,,61.0,
PersonRequestError.py,PersonRequestError.py,19,34,3,,,6,6,5,6,97.1,1,32.1,24
PersonRequestPartialSuccess.py,PersonRequestPartialSuccess.py,28,49,4,,,11,11,9,12,67.3,1,33.3,46
PushBoxGameError.py,PushBoxGameError.py,104,158,4,7,,3,10,39,68,,,31.6,56
RegexUtilsError.py,RegexUtilsError.py,,123,,,,,,,,,,,
RPGCharacterError.py,RPGCharacterError.py,25,61,4,,,,,6,4,,,52.8,
ServerError.py,ServerError.py,28,68,5,,,,,10,7,98.5,1,52.5,
ServerFail.py,ServerFail.py,32,78,6,,,,,13,9,85.9,1,52.9,
ShoppingCartError.py,ShoppingCartError.py,14,48,3,,,,,5,2,,,63.2,
SignInSystemError.py,SignInSystemError.py,21,55,5,,,,,9,7,,,53.3,
SnakeError.py,SnakeError.py,37,77,5,,,3,3,7,7,,,46.4,6
SplitSentenceError.py,SplitSentenceError.py,,11,,,,,,,,,,,
SQLGeneratorError.py,SQLGeneratorError.py,,77,,,,,,,,,,,
SQLQueryBuilderError.py,SQLQueryBuilderError.py,,52,,,,,,,,,,,
Statistics3Error.py,Statistics3Error.py,25,83,6,1,,8,9,8,3,,,62.7,40
StockPortfolioTrackerError.py,StockPortfolioTrackerError.py,36,93,8,,,,,11,3,,,56.1,
StudentDatabaseProcessorError.py,StudentDatabaseProcessorError.py,31,75,5,,,1,1,5,,,,54.4,8
TextFileProcessorError.py,TextFileProcessorError.py,25,55,4,,,1,1,6,6,98.2,1,49.0,1
TextFileProcessorFail.py,TextFileProcessorFail.py,32,68,5,,,1,1,9,9,79.4,1,47.5,1
ThermostatError.py,ThermostatError.py,33,75,6,,,,,9,8,,,50.7,
TicTacToeError.py,TicTacToeError.py,10,24,2,,,1,1,5,6,,,37.5,2
TimeUtilsError.py,TimeUtilsError.py,25,75,7,,,,,8,2,,,61.5,
TriCalculatorError.py,TriCalculatorError.py,13,47,4,,,1,1,4,,,,66.7,5
TwentyFourPointGameError.py,TwentyFourPointGameError.py,15,48,4,,,,,5,2,97.9,1,62.5,
TwentyFourPointGameFail.py,TwentyFourPointGameFail.py,21,63,5,,,,,7,4,74.6,1,60.4,
URLHandlerError.py,URLHandlerError.py,18,50,5,,,1,1,7,4,98.0,1,58.1,5
URLHandlerFail.py,URLHandlerFail.py,23,60,6,,,1,1,9,5,81.7,1,55.8,5
UrlPathError.py,UrlPathError.py,27,53,4,,,,,10,8,,,42.6,
UserLoginDBFail.py,UserLoginDBFail.py,31,90,5,,,,,7,5,,,61.3,
VectorUtilError.py,VectorUtilError.py,38,126,2,,,3,3,2,,,,56.8,11
VendingMachineError.py,VendingMachineError.py,23,59,5,,,,,7,4,98.3,1,55.8,
VendingMachineFail.py,VendingMachineFail.py,28,69,6,,,,,9,6,84.1,1,54.1,
WarehouseError.py,WarehouseError.py,37,91,6,,,,,12,7,98.9,1,56.5,
WarehouseFail.py,WarehouseFail.py,43,107,7,,,,,14,9,84.1,1,57.0,
WeatherSystemError.py,WeatherSystemError.py,21,59,5,,,2,2,5,,,,58.8,10
Words2NumbersError.py,Words2NumbersError.py,39,77,3,,,3,3,18,18,,,40.0,15
XMLProcessorError.py,XMLProcessorError.py,27,77,5,,,1,1,7,3,,,58.5,5
ZipFileProcessorError.py,ZipFileProcessorError.py,23,57,4,,,,,7,5,,,53.1,
